viewKey,linkLabel,linkValue
settings-account-info,Monthly Bandwith/Storage Usage,https://knowledge.kaltura.com/help/account-information
settings-account-info,Upgrade Account,https://knowledge.kaltura.com/help/account-information
settings-account-info,Settings Pages,https://knowledge.kaltura.com/help/kaltura-management-console-settings-pages
settings-account-info,Upgrade Account,https://knowledge.kaltura.com/help/account-settings
settings-account,View Account Information,https://knowledge.kaltura.com/help/account-settings
settings-integration,Account Info Notifications,https://knowledge.kaltura.com/help/integration-settings
settings-integration,Add Entitlements,https://knowledge.kaltura.com/help/integration-settings#entitlement_settings
settings-metadata,Custom Data,https://knowledge.kaltura.com/help/custom-data
settings-metadata,Custom Metadata Functionality,https://knowledge.kaltura.com/help/custom-data#custom_metadata_functionality
settings-metadata,Add a Schema,https://knowledge.kaltura.com/help/custom-data#add_schema
settings-metadata,Related Entries,https://knowledge.kaltura.com/help/custom-data#related_entries
settings-my-user-settings,Change User Details,https://knowledge.kaltura.com/help/my-user-settings-kmc-ng
settings-transcoding,Transcoding Settings,https://knowledge.kaltura.com/help/transcoding-and-processing
studio-v2,Universal Studio Guide v2 Player,https://knowledge.kaltura.com/help/universal-studio-information-guide
studio-v3,Kaltura Player Studio,https://knowledge.kaltura.com/help/player-v7
usage-dashboard,The Usage Dashboard,https://knowledge.kaltura.com/help/usage-dashboard-information-guide-for-vpaas-customers
content-category-subcategories,Reordering/Deleting Sub Categories,https://knowledge.kaltura.com/help/managing-categories#reordering_sub_cats
content-category-entitlements,Entitlements Model,https://knowledge.kaltura.com/help/what-is-kalturas-entitlement-model
content-category-entitlements,Setting the Entitlement Settings,
content-category-entitlements,Add Entitlements to Categories,https://knowledge.kaltura.com/help/integration-settings#add_entitlement_to_cat
content-category-metadata,Add/Edit Category Metadata,https://knowledge.kaltura.com/help/managing-categories#add_metadata
content-entry-metadata,Metadata Tab,https://knowledge.kaltura.com/help/the-content-menu#metadata_tab
content-entry-thumbnails,Thumbnails Tab,https://knowledge.kaltura.com/help/the-content-menu#thumbnails_tab
content-entry-thumbnails,Choosing a Thumbnail for your Video,https://knowledge.kaltura.com/help/the-content-menu#choosing_thumbnail
content-entry-accesscontrol,Assign Access Control Profile to Entry,https://knowledge.kaltura.com/help/managing-access-profiles#assign
content-entry-accesscontrol,Assign Access Control Profile (Bulk),https://knowledge.kaltura.com/help/managing-access-profiles#assign_ac_bulk
content-entry-scheduling,Set Scheduling,https://knowledge.kaltura.com/help/the-content-menu#set_scheduling
content-entry-flavours,Flavors Tab,https://knowledge.kaltura.com/help/the-content-menu#flavors_tab
content-entry-flavours,Add Video/Audio,https://knowledge.kaltura.com/help/the-content-menu#add_video_audio
content-entry-flavours,Upload from Desktop,https://knowledge.kaltura.com/help/the-content-menu#upload_from_desktop
content-entry-flavours,Import Files,https://knowledge.kaltura.com/help/the-content-menu#import_files
content-entry-flavours,Link to Remote Storage,https://knowledge.kaltura.com/help/the-content-menu#link_to_remote_storage
content-entry-flavours,Replace Media,https://knowledge.kaltura.com/help/the-content-menu#replacing_media
content-entry-captions,The Captions Tab,https://knowledge.kaltura.com/help/the-content-menu#captions_edit
content-entry-live,Create a Live Stream Entry in Kaltura Using the KMC NG,https://knowledge.kaltura.com/help/creating-a-live-stream-entry-in-kaltura-using-the-kmc-ng
content-entry-live,RTMP Endpoints for Kaltura Live Streaming - KMC-NG,https://knowledge.kaltura.com/help/rtmp-endpoints-for-kaltura-live-streaming
content-entry-related,Uploading and Modifying Related Files,https://knowledge.kaltura.com/help/uploading-and-ingestion#uploading_modifying_related_files
content-entry-clips,Create and Edit Media Clips,https://knowledge.kaltura.com/help/the-content-menu#clips_edit
content-entry-advertisements,Creating Advertisements,https://knowledge.kaltura.com/help/the-content-menu#advertisements_edit
content-entry-advertisements,Advertising and Ad Networks,https://knowledge.kaltura.com/help/advertising-and-ad-networks
content-entry-advertisements,Configure VAST Ads,https://knowledge.kaltura.com/help/advertising-and-ad-networks#cfg_vast_ads
content-entry-users,Modify Editing and Publishing Rights,https://knowledge.kaltura.com/help/the-content-menu#users_edit
content-entry-distribution,Distributing an Entry,https://knowledge.kaltura.com/help/content-distribution-and-syndication#distribute_entry
content-entry-distribution,Distribution,https://knowledge.kaltura.com/help/the-content-menu#distribution_edit
content-playlist-metadata,The Playlists Tab -Add a Playlist,https://knowledge.kaltura.com/help/creating-and-configuring-playlists#playlists_tab
content-playlist-metadata,Add/Edit Metdata to Playlist,https://knowledge.kaltura.com/help/creating-and-configuring-playlists#add_edit_metadata
content-playlist-content,Create Manual Playlist,https://knowledge.kaltura.com/help/creating-and-configuring-playlists#create_man_playlist
content-playlist-contentrulebased,Create Rule-based Playlist,https://knowledge.kaltura.com/help/creating-and-configuring-playlists#create_rule_playlist
settings-transcoding-profile-metadata,Useful Tips,https://knowledge.kaltura.com/help/transcoding-and-processing#useful_tips
settings-transcoding-profile-flavors,Transcoding Profiles - Edit Flavors,https://knowledge.kaltura.com/help/transcoding-and-processing#edit_flavors
settings-transcoding-profile-flavors,Trasncoding Profiles - Edit Live Flavors,https://knowledge.kaltura.com/help/transcoding-and-processing#edit_flavors_live
settings-transcoding-profile-flavors,Trasncoding Profiles for Live Streaming,https://knowledge.kaltura.com/help/transcoding-and-processing#transcoding_profiles_for_live
settings-transcoding-profile-flavors,Assign Bulk Transcoding Profiles,https://knowledge.kaltura.com/help/transcoding-and-processing#assigning_bulk
